PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,17-DMAG,KPT-330,3.01995172040202e-002,54.9540873857625,18.8383139919428,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,100,66.528878172006,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,100,59.9724423010679,nM
1,17-DMAG,KPT-330,0.1,0,0,nM
1,17-DMAG,KPT-330,0.1,0,0,nM
1,17-DMAG,KPT-330,0.1,10,0.690550669893171,nM
1,17-DMAG,KPT-330,0.1,10,0,nM
1,17-DMAG,KPT-330,0.1,19.9526231496888,3.35321324245375,nM
1,17-DMAG,KPT-330,0.1,19.9526231496888,0.748539435248296,nM
1,17-DMAG,KPT-330,0.1,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0.1,30.1995172040202,0.296040458862711,nM
1,17-DMAG,KPT-330,0.1,54.9540873857625,14.9900787685647,nM
1,17-DMAG,KPT-330,0.1,54.9540873857625,18.032589742048,nM
1,17-DMAG,KPT-330,0.1,100,59.9724423010679,nM
1,17-DMAG,KPT-330,0.1,100,59.9609599265128,nM
1,17-DMAG,KPT-330,0.301995172040202,0,0,nM
1,17-DMAG,KPT-330,0.301995172040202,0,0,nM
1,17-DMAG,KPT-330,0.301995172040202,10,0,nM
1,17-DMAG,KPT-330,0.301995172040202,10,0,nM
1,17-DMAG,KPT-330,0.301995172040202,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0.301995172040202,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0.301995172040202,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0.301995172040202,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0.301995172040202,54.9540873857625,16.745836089231,nM
1,17-DMAG,KPT-330,0.301995172040202,54.9540873857625,7.95502375082677,nM
1,17-DMAG,KPT-330,0.301995172040202,100,52.8992995751521,nM
1,17-DMAG,KPT-330,0.301995172040202,100,51.8544034906419,nM
1,17-DMAG,KPT-330,1,0,0,nM
1,17-DMAG,KPT-330,1,0,0,nM
1,17-DMAG,KPT-330,1,10,0,nM
1,17-DMAG,KPT-330,1,10,0,nM
1,17-DMAG,KPT-330,1,19.9526231496888,0,nM
1,17-DMAG,KPT-330,1,19.9526231496888,0,nM
1,17-DMAG,KPT-330,1,30.1995172040202,0,nM
1,17-DMAG,KPT-330,1,30.1995172040202,0,nM
1,17-DMAG,KPT-330,1,54.9540873857625,3.30106427755397,nM
1,17-DMAG,KPT-330,1,54.9540873857625,2.47128855751308,nM
1,17-DMAG,KPT-330,1,100,53.4963830520152,nM
1,17-DMAG,KPT-330,1,100,55.2187392352739,nM
1,17-DMAG,KPT-330,3.01995172040202,0,0,nM
1,17-DMAG,KPT-330,3.01995172040202,0,0,nM
1,17-DMAG,KPT-330,3.01995172040202,10,5.35324322729151,nM
1,17-DMAG,KPT-330,3.01995172040202,10,0,nM
1,17-DMAG,KPT-330,3.01995172040202,19.9526231496888,0,nM
1,17-DMAG,KPT-330,3.01995172040202,19.9526231496888,13.6136806231743,nM
1,17-DMAG,KPT-330,3.01995172040202,30.1995172040202,0,nM
1,17-DMAG,KPT-330,3.01995172040202,30.1995172040202,3.07141976070063,nM
1,17-DMAG,KPT-330,3.01995172040202,54.9540873857625,28.2183873489267,nM
1,17-DMAG,KPT-330,3.01995172040202,54.9540873857625,18.3091816487283,nM
1,17-DMAG,KPT-330,3.01995172040202,100,57.7793087610518,nM
1,17-DMAG,KPT-330,3.01995172040202,100,57.3085314042944,nM
1,17-DMAG,KPT-330,10,0,57.7756665281159,nM
1,17-DMAG,KPT-330,10,0,67.0744017576153,nM
1,17-DMAG,KPT-330,10,10,81.6443368942926,nM
1,17-DMAG,KPT-330,10,10,79.3425013279821,nM
1,17-DMAG,KPT-330,10,19.9526231496888,79.3999513145083,nM
1,17-DMAG,KPT-330,10,19.9526231496888,78.3166991236611,nM
1,17-DMAG,KPT-330,10,30.1995172040202,77.1432095719748,nM
1,17-DMAG,KPT-330,10,30.1995172040202,77.2295547058098,nM
1,17-DMAG,KPT-330,10,54.9540873857625,82.8392760507486,nM
1,17-DMAG,KPT-330,10,54.9540873857625,80.3860260958451,nM
1,17-DMAG,KPT-330,10,100,83.3161097715007,nM
1,17-DMAG,KPT-330,10,100,84.361005856011,nM
1,17-DMAG,KPT-330,30.1995172040202,0,94.6499614037171,nM
1,17-DMAG,KPT-330,30.1995172040202,0,92.144171961285,nM
1,17-DMAG,KPT-330,30.1995172040202,10,95.3136988726908,nM
1,17-DMAG,KPT-330,30.1995172040202,10,94.2749217966122,nM
1,17-DMAG,KPT-330,30.1995172040202,19.9526231496888,94.1029698149951,nM
1,17-DMAG,KPT-330,30.1995172040202,19.9526231496888,93.6039435248296,nM
